lat,lon
56.3,9.35
48.27,18.1
41.44,0.46
41.43,0.21
41.57,0.05
42.33,0.07
42.35,0.59
47.33,14.33
46.08,2.18
40.3,4.26
55.28,2.14
47.43,8.52
55.99,13.6
50.59,3.49
58.34,13.1
37.8,5.16
55.28,9.07
42.29,12.16
49.41,8.36
49.5,8.34
47.5,7.54
