id;studyid;reference;lat;lon;mat;map;clay;soc;ph;year;g_crop_type;management;describe;fertilizer_type;crop_residue;tillage;cover_crop_and_crop_rotation;fertilizer_strategy;rfr;rfp;rft;n_dose;replication ;nue_type;nuet_mean;nuet_sd;nuec_mean;nuec_sd;nup_type;nut_mean;nut_sd;nut_0N;nuc_mean;nuc_sd;nuc_0N
794;148;Li Songlin_2011_Nitrogen_Chinese;30,8;120,82;16,87822889;1409,20099;33,57857143;16,65;6,664285714;1;rice;OF;Biogas digestate,full;organic;no;conventional;no;conventional;no;no;no;210;3;REN;26,57;;22,35;;;;;;;;
795;149;Li Wei_2011_Effect_Chinese;36,15;117,15;13,32184868;671,0503751;25,82857143;7,392857143;7,292857143;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;35,74;;21,34;;;;;;;;
796;150;Li Xian_2010_Effects_Chinese;28,73;112,85;18,24925753;1602,93164;28,53571429;13,89285714;5,864285714;1;rice;CF;pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;31,1;2,52;29,98;3,41;;;;;;;
797;150;Li Xian_2010_Effects_Chinese;28,73;112,85;18,24925753;1602,93164;28,53571429;13,89285714;5,864285714;1;rice;CF;pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;31,02;7,89;29,98;3,41;;;;;;;
798;150;Li Xian_2010_Effects_Chinese;28,73;112,85;18,24925753;1602,93164;28,53571429;13,89285714;5,864285714;1;rice;CF;pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;18,17;5,43;29,98;3,41;;;;;;;
799;150;Li Xian_2010_Effects_Chinese;28,73;112,85;18,24925753;1602,93164;28,53571429;13,89285714;5,864285714;1;rice;CF;pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;27,01;1,59;29,98;3,41;;;;;;;
800;150;Li Xian_2010_Effects_Chinese;28,73;112,85;18,24925753;1602,93164;28,53571429;13,89285714;5,864285714;1;rice;CF;pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;32,64;11,87;29,98;3,41;;;;;;;
801;150;Li Xian_2010_Effects_Chinese;28,73;112,85;18,24925753;1602,93164;28,53571429;13,89285714;5,864285714;1;rice;CF;pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;25,42;5,01;29,98;3,41;;;;;;;
802;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;27,01;0,92;29,98;1,97;up_total;95,55;2,26;;99,78;4,85;
803;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;20%pig manure;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;31,1;1,45;29,98;1,97;up_total;101,39;3,59;;99,78;4,85;
804;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;20%pig manure organic fetilizer;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;32,64;6,85;29,98;1,97;up_total;103,57;16,91;;99,78;4,85;
805;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;10%pig manure organic fetilizer;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;31,02;4,56;29,98;1,97;up_total;101,26;11,25;;99,78;4,85;
806;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;30%pig manure organic fetilizer;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;18,17;3,13;29,98;1,97;up_total;82,96;7,73;;99,78;4,85;
807;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;;combined;no;conventional;no;conventional;no;no;no;142,5;3;REN;25,42;2,89;29,98;1,97;up_total;93,29;7,14;;99,78;4,85;
808;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;;combined;no;conventional;no;conventional;no;no;no;150;3;REN;33,01;9,29;39,96;1,35;up_total;98,3;24,14;;108,73;3,51;
809;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;20%pig manure;combined;no;conventional;no;conventional;no;no;no;150;3;REN;29,66;0,55;39,96;1,35;up_total;93,27;1,42;;108,73;3,51;
810;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;20%pig manure organic fetilizer;combined;no;conventional;no;conventional;no;no;no;150;3;REN;41,47;6,53;39,96;1,35;up_total;110,98;16,97;;108,73;3,51;
811;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;10%pig manure organic fetilizer;combined;no;conventional;no;conventional;no;no;no;150;3;REN;34,76;5,16;39,96;1,35;up_total;100,92;13,42;;108,73;3,51;
812;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;30%pig manure organic fetilizer;combined;no;conventional;no;conventional;no;no;no;150;3;REN;38,24;6,51;39,96;1,35;up_total;106,15;16,92;;108,73;3,51;
813;150;Li Xian_2010_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;rice;CF;;combined;no;conventional;no;conventional;no;no;no;150;3;REN;40,76;9,23;39,96;1,35;up_total;109,92;23,98;;108,73;3,51;
814;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;OF;Chichen manure,full;organic;no;conventional;no;conventional;no;no;no;225;3;REN;15,55;2,87;47,19;0,81;;;;;;;
815;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Chichen manure,<40%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;30,64;11,95;47,19;0,81;;;;;;;
816;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Chichen manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;34,57;5,53;47,19;0,81;;;;;;;
817;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Chichen manure,>60%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;39,19;3,61;47,19;0,81;;;;;;;
818;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;OF;Pig manure,full;organic;no;conventional;no;conventional;no;no;no;225;3;REN;40,4;1,5;47,19;0,81;;;;;;;
819;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Pig manure,<40%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;49,59;18,4;47,19;0,81;;;;;;;
820;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;52,17;9,36;47,19;0,81;;;;;;;
821;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Pig manure,>60%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;52,05;5,66;47,19;0,81;;;;;;;
822;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;OF;Cattle manure,full;organic;no;conventional;no;conventional;no;no;no;225;3;REN;43,31;18,89;47,19;0,81;;;;;;;
823;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Cattle manure,<40%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;45,4;7,36;47,19;0,81;;;;;;;
824;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Cattle manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;55,94;10,41;47,19;0,81;;;;;;;
825;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;CF;Cattle manure,>60%;combined;no;conventional;no;conventional;no;no;no;225;3;REN;56,5;16,32;47,19;0,81;;;;;;;
826;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;OF;Chichen manure,full;organic;no;conventional;no;conventional;no;no;no;450;3;REN;12,31;3,1;29,33;4,15;;;;;;;
827;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;OF;Pig manure,full;organic;no;conventional;no;conventional;no;no;no;450;3;REN;31,36;1,94;29,33;4,15;;;;;;;
828;151;Li Yanqing_2016_Study_Chinese;37,28;116,63;14,38573214;590,0425727;22,59285714;5,621428571;7,992857143;1;wheat;OF;Cattle manure,full;organic;no;conventional;no;conventional;no;no;no;450;3;REN;40,06;0,65;29,33;4,15;;;;;;;
829;152;Li Yun-chun_2014_Effecrs_Chinese;30,44;112,23;17,0498923;1153,944805;21,48571429;11,8;6,664285714;1;rice;RFT;;mineral;no;conventional;no;timing;no;no;yes;150;3;REN;39,1;;22,1;;;;;;;;
830;152;Li Yun-chun_2014_Effecrs_Chinese;30,44;112,23;17,0498923;1153,944805;21,48571429;11,8;6,664285714;1;rice;RFR;CRF187.5kg/ha;mineral;no;conventional;no;rate;yes;no;no;75;3;REN;43,9;;51,9;;;;;;;;
831;152;Li Yun-chun_2014_Effecrs_Chinese;30,44;112,23;17,0498923;1153,944805;21,48571429;11,8;6,664285714;1;rice;RFR;CRF187.5kg/ha;mineral;no;conventional;no;rate;yes;no;no;112,5;3;REN;51;;51,9;;;;;;;;
832;152;Li Yun-chun_2014_Effecrs_Chinese;30,44;112,23;17,0498923;1153,944805;21,48571429;11,8;6,664285714;1;rice;RFR;CRF187.5kg/ha;mineral;no;conventional;no;rate;yes;no;no;150;3;REN;56,2;;51,9;;;;;;;;
833;152;Li Yun-chun_2014_Effecrs_Chinese;30,44;112,23;17,0498923;1153,944805;21,48571429;11,8;6,664285714;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;55,7;;52,4;;;;;;;;
834;153;Li Zhi-yong_2003_Effects_Chinese;40,14;116,18;12,24053357;585,9709138;19,99285714;9,107142857;7,921428571;1;maize;NT;;mineral;no;no-till;no;conventional;no;no;no;80;4;REN;14;;13,1;;;;;;;;
835;154;Li Zu-zhang_2015_Study_Chinese;28,16;115,34;18,6312074;1754,811958;29,32857143;9,442857143;6,392857143;1;rice;CF;;combined;no;conventional;no;conventional;no;no;no;180;3;REN;19,44444444;;18,88888889;;up_total;98;;63;97;;63
836;154;Li Zu-zhang_2015_Study_Chinese;28,88;115,9;18,22280897;1682,736947;27,84285714;11,78571429;5,864285714;1;rice;CF;;combined;no;conventional;no;conventional;no;no;no;180;3;REN;24,66666667;;28,77777778;;up_total;55,9;;11,5;63,3;;11,5
837;155;Li, L_2011_Manure_Chinese;43,54;124,82;6,341200892;745,3800084;27,37857143;13,09285714;7,064285714;1;maize;CF;Co-application with organic materials;combined;no;conventional;no;conventional;no;no;no;128;4;REN;42,65625;;44,21875;;up_total;237,9;;183,3;239,9;;183,3
838;155;Li, L_2011_Manure_Chinese;43,54;124,82;6,341200892;745,3800084;27,37857143;13,09285714;7,064285714;1;maize;CF;Co-application with organic materials;combined;no;conventional;no;conventional;no;no;no;105;4;REN;90,19047619;;53,9047619;;up_total;278;;183,3;239,9;;183,3
839;156;Li,En_yao_2011_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;maize;RFR;;mineral;no;conventional;no;rate;yes;no;no;300;3;REN;35,5;;21,6;;;;;;;;
840;156;Li,En_yao_2011_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;maize;RFR;;mineral;no;conventional;no;rate;yes;no;no;300;3;REN;26,7;;22,1;;;;;;;;
841;156;Li,En_yao_2011_Effects_Chinese;28,78;112,9;18,26991183;1570,263475;30,68571429;14,05714286;5,964285714;2;maize;RFR;;mineral;no;conventional;no;rate;yes;no;no;262,5;3;REN;27,6;;22,1;;;;;;;;
842;157;Li,Fang-min_2005_Effects_Chinese;23,13;113,36;22,12415988;2219,21868;27,84285714;18,92857143;5,964285714;1;rice;EE;;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;49,52;;49,1;;;;;;;;
843;157;Li,Fang-min_2005_Effects_Chinese;23,13;113,36;22,12415988;2219,21868;27,84285714;18,92857143;5,964285714;1;rice;EE;;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;39,01;;49,1;;;;;;;;
844;157;Li,Fang-min_2005_Effects_Chinese;23,13;113,36;22,12415988;2219,21868;27,84285714;18,92857143;5,964285714;1;rice;EE;;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;47,27;;40,78;;;;;;;;
845;157;Li,Fang-min_2005_Effects_Chinese;23,13;113,36;22,12415988;2219,21868;27,84285714;18,92857143;5,964285714;1;rice;EE;;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;39,01;;40,78;;;;;;;;
846;158;Li,Feng_2011_Effects_Chinese;28,2;112,44;17,65536105;1603,148907;35,1;16,22857143;6;1;rice;EE;;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;25,5;;24,6;;;;;;;;
847;159;Li,Min_2014_Effects_Chinese;32,98;115,96;16,06711235;875,9904401;36,45714286;7,892857143;7,792857143;1;maize;EE;DI;enhanced;no;conventional;no;conventional;no;no;no;270;3;REN;52,51;;34,14;;;;;;;;
848;159;Li,Min_2014_Effects_Chinese;36,72;117,06;14,17826144;602,5198961;32,32142857;8,264285714;7,235714286;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;300;4;REN;40,6;;28,2;;;;;;;;
849;159;Li,Min_2014_Effects_Chinese;36,72;117,06;14,17826144;602,5198961;32,32142857;8,264285714;7,235714286;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;300;4;REN;49;;28,2;;;;;;;;
850;159;Li,Min_2014_Effects_Chinese;36,72;117,06;14,17826144;602,5198961;32,32142857;8,264285714;7,235714286;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;4;REN;35,4;;23,1;;;;;;;;
851;159;Li,Min_2014_Effects_Chinese;36,72;117,06;14,17826144;602,5198961;32,32142857;8,264285714;7,235714286;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;4;REN;42,5;;23,1;;;;;;;;
852;159;Li,Min_2014_Effects_Chinese;33,16;116,55;15,8151104;896,1517999;36,22142857;6,642857143;7,864285714;5;maize;NT;;mineral;no;no-till;no;conventional;no;no;no;162;3;REN;50,9;;49,8;;;;;;;;
853;159;Li,Min_2014_Effects_Chinese;33,16;116,55;15,8151104;896,1517999;36,22142857;6,642857143;7,864285714;5;maize;NT;;mineral;no;no-till;no;conventional;no;no;no;202,5;3;REN;41,8;;41,5;;;;;;;;
854;159;Li,Min_2014_Effects_Chinese;33,16;116,55;15,8151104;896,1517999;36,22142857;6,642857143;7,864285714;5;maize;NT;;mineral;no;no-till;no;conventional;no;no;no;243;3;REN;38,6;;35,4;;;;;;;;
855;159;Li,Min_2014_Effects_Chinese;33,16;116,55;15,8151104;896,1517999;36,22142857;6,642857143;7,864285714;5;maize;NT;;mineral;no;no-till;no;conventional;no;no;no;283,5;3;REN;30,7;;30,9;;;;;;;;
856;159;Li,Min_2014_Effects_Chinese;33,16;116,55;15,8151104;896,1517999;36,22142857;6,642857143;7,864285714;5;maize;NT;;mineral;no;no-till;no;conventional;no;no;no;324;3;REN;26,9;;25,5;;;;;;;;
857;160;Li,Yu-fan_2015_Ammonia_Chinese;43,5;124,27;6,722662481;681,3510628;31,27857143;11,5;7,557142857;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;224;3;REN;27,9;;21,2;;;;;;;;
858;160;Li,Yu-fan_2015_Ammonia_Chinese;43,5;124,27;6,722662481;681,3510628;31,27857143;11,5;7,557142857;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;224;3;REN;37,7;;21,2;;;;;;;;
859;160;Li,Yu-fan_2015_Ammonia_Chinese;43,5;124,27;6,722662481;681,3510628;31,27857143;11,5;7,557142857;1;maize;EE;DI;enhanced;no;conventional;no;conventional;no;no;no;224;3;REN;28,8;;21,2;;;;;;;;
860;161;Li_2001_Recovery;35,06;135,78;13,45584933;1818,229379;29,03571429;34,93571429;5,3;2;maize;OF;;organic;no;conventional;no;conventional;no;no;no;300;2;REN;42,33333333;;12,66666667;;up_total;183;;56;94;;56
861;161;Li_2001_Recovery;35,06;135,78;13,45584933;1818,229379;29,03571429;34,93571429;5,3;2;maize;CF;;combined;no;conventional;no;conventional;no;no;no;300;2;REN;53,66666667;;12,66666667;;up_total;217;;56;94;;56
862;161;Li_2001_Recovery;35,06;135,78;13,45584933;1818,229379;29,03571429;34,93571429;5,3;2;wheat;OF;;organic;no;conventional;no;conventional;no;no;no;200;2;REN;30,5;;7,5;;up_total;118;;57;72;;57
863;161;Li_2001_Recovery;35,06;135,78;13,45584933;1818,229379;29,03571429;34,93571429;5,3;2;wheat;CF;;combined;no;conventional;no;conventional;no;no;no;200;2;REN;49,5;;7,5;;up_total;156;;57;72;;57
864;162;Li_2011_Recovery;40,14;116,18;11,85427055;590,279592;19,99285714;9,107142857;7,921428571;2;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;69,97;;66,45;;;;;;;;
865;162;Li_2011_Recovery;40,14;116,18;11,85427055;590,279592;19,99285714;9,107142857;7,921428571;2;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;225;3;REN;44,3;;43,75;;;;;;;;
866;162;Li_2011_Recovery;40,14;116,18;11,85427055;590,279592;19,99285714;9,107142857;7,921428571;2;wheat;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;85,51;;74,33;;;;;;;;
867;162;Li_2011_Recovery;40,14;116,18;11,85427055;590,279592;19,99285714;9,107142857;7,921428571;2;wheat;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;225;3;REN;57,9;;54,22;;;;;;;;
868;162;Li_2011_Recovery;40,14;116,18;11,85427055;590,279592;19,99285714;9,107142857;7,921428571;2;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;57,85;;58,18;;;;;;;;
869;162;Li_2011_Recovery;40,14;116,18;11,85427055;590,279592;19,99285714;9,107142857;7,921428571;2;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;225;3;REN;36,66;;39,99;;;;;;;;
870;163;Li_2015_Effect;33,42;114,01;16,16208305;723,5056089;23,97857143;10,56428571;7,292857143;1;wheat;RFR;farmers’ N practice 255kg N/ha;mineral;no;conventional;no;rate;yes;no;no;150;4;REN;44;;26;;up_total;193;;;189;;
871;163;Li_2015_Effect;33,42;114,01;16,16208305;723,5056089;23,97857143;10,56428571;7,292857143;1;wheat;EE;UI;enhanced;no;conventional;no;rate;yes;no;no;150;4;REN;42;;26;;up_total;190;;;193;;
872;163;Li_2015_Effect;33,42;114,01;16,16208305;723,5056089;23,97857143;10,56428571;7,292857143;1;wheat;RFT;;mineral;no;conventional;no;timing;no;no;yes;150;4;REN;36;;26;;up_total;180;;;193;;
873;163;Li_2015_Effect;33,42;114,01;16,16208305;723,5056089;23,97857143;10,56428571;7,292857143;1;wheat;EE;UI;enhanced;no;conventional;no;timing;no;no;yes;150;4;REN;42;;26;;up_total;190;;;180;;
874;163;Li_2015_Effect;34,29;108;13,26283175;876,0926293;28,1;7,528571429;7,792857143;1;wheat;RFR;farmers’ N practice 255kg N/ha;mineral;no;conventional;no;rate;yes;no;no;150;4;REN;12;;9;;up_total;180;;;185;;
875;163;Li_2015_Effect;34,29;108;13,26283175;876,0926293;28,1;7,528571429;7,792857143;1;wheat;EE;UI;enhanced;no;conventional;no;rate;yes;no;no;150;4;REN;16;;9;;up_total;186;;;180;;
876;163;Li_2015_Effect;34,29;108;13,26283175;876,0926293;28,1;7,528571429;7,792857143;1;wheat;RFT;;mineral;no;conventional;no;timing;no;no;yes;150;4;REN;11;;9;;up_total;178;;;180;;
877;163;Li_2015_Effect;34,29;108;13,26283175;876,0926293;28,1;7,528571429;7,792857143;1;wheat;EE;UI;enhanced;no;conventional;no;timing;no;no;yes;150;4;REN;11;;9;;up_total;179;;;178;;
878;163;Li_2015_Effect;36,96;112,2;8,816038132;699,9181496;16,17142857;13,05;7,592857143;1;wheat;RFR;farmers’ N practice 255kg N/ha;mineral;no;conventional;no;rate;yes;no;no;150;4;REN;32;;23;;up_total;114;;;127;;
879;163;Li_2015_Effect;36,96;112,2;8,816038132;699,9181496;16,17142857;13,05;7,592857143;1;wheat;EE;UI;enhanced;no;conventional;no;rate;yes;no;no;150;4;REN;42;;23;;up_total;129;;;114;;
880;163;Li_2015_Effect;36,96;112,2;8,816038132;699,9181496;16,17142857;13,05;7,592857143;1;wheat;RFT;;mineral;no;conventional;no;timing;no;no;yes;150;4;REN;37;;23;;up_total;121;;;114;;
881;163;Li_2015_Effect;36,96;112,2;8,816038132;699,9181496;16,17142857;13,05;7,592857143;1;wheat;EE;UI;enhanced;no;conventional;no;timing;no;no;yes;150;4;REN;53;;23;;up_total;144;;;121;;
882;164;Li_2015_Polyolefin-coated;26,75;111,87;18,25459607;1534,641153;29,85714286;17,70714286;5,6;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;75;3;REN;63,6;1,3;37,8;1,5;up_total;176,7;3,2;;138;4,7;
883;164;Li_2015_Polyolefin-coated;26,75;111,87;18,25459607;1534,641153;29,85714286;17,70714286;5,6;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;36,1;1,4;29,5;0,9;up_total;189,8;2,9;;169,9;2,8;
884;164;Li_2015_Polyolefin-coated;26,75;111,87;18,25459607;1534,641153;29,85714286;17,70714286;5,6;2;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;75;3;REN;65,3;4,8;44,6;2,8;up_total;195,1;5,8;;164;4,7;
885;164;Li_2015_Polyolefin-coated;26,75;111,87;18,25459607;1534,641153;29,85714286;17,70714286;5,6;2;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;150;3;REN;35,1;2,3;31,8;1,8;up_total;202,3;5,4;;192,4;4,2;
886;165;Li_2016_The;39,6;116,8;13,21786105;591,2455635;21,3;7,871428571;7,892857143;4;wheat;RFR;farmers’ N practice 440kg N/ha;mineral;no;conventional;no;rate;yes;no;no;220;3;REN;61;;35;;up_total;175;;;186;;
887;165;Li_2016_The;39,6;116,8;13,21786105;591,2455635;21,3;7,871428571;7,892857143;4;maize;RFR;farmers’ N practice 440kg N/ha;mineral;no;conventional;no;rate;yes;no;no;220;3;REN;41;;31;;up_total;206;;;229;;
888;166;Lian Ze-chen_2016_Effects_Chinese;29,88;110,45;12,80095024;1698,307496;32,97857143;27,10714286;6,064285714;2;rice;RES;6000KG/HA;mineral;yes;conventional;no;conventional;no;no;no;165;3;REN;20,28484848;;12,18787879;;up_total;142,26;;108,79;128,9;;108,79
889;166;Lian Ze-chen_2016_Effects_Chinese;29,88;110,45;12,80095024;1698,307496;32,97857143;27,10714286;6,064285714;2;rice;RES;6000KG/HA;mineral;yes;conventional;no;conventional;no;no;no;165;3;REN;6,533333333;;7,951515152;;up_total;118,93;;108,15;121,27;;108,15
890;166;Lian Ze-chen_2016_Effects_Chinese;30,84;115,48;13,5347393;532,2077276;26,50714286;11,58571429;5,992857143;2;rice;RES;6000KG/HA;mineral;yes;conventional;no;conventional;no;no;no;165;3;REN;12,76363636;;12,18787879;;up_total;129,85;;108,79;128,9;;108,79
891;166;Lian Ze-chen_2016_Effects_Chinese;30,84;115,48;13,5347393;532,2077276;26,50714286;11,58571429;5,992857143;2;rice;RES;6000KG/HA;mineral;yes;conventional;no;conventional;no;no;no;165;3;REN;5,612121212;;7,951515152;;up_total;117,41;;108,15;121,27;;108,15
892;166;Lian Ze-chen_2016_Effects_Chinese;30,97;113,97;17,01099256;1307,258739;30,50714286;13,07142857;6,992857143;2;rice;RES;6000KG/HA;mineral;yes;conventional;no;conventional;no;no;no;165;3;REN;14,24848485;;12,18787879;;up_total;132,3;;108,79;128,9;;108,79
893;166;Lian Ze-chen_2016_Effects_Chinese;31,01;113,93;17,00842094;1284,526939;31,03571429;11,4;7,164285714;2;rice;RES;6000KG/HA;mineral;yes;conventional;no;conventional;no;no;no;165;3;REN;19,45454545;;7,951515152;;up_total;140,25;;108,15;121,27;;108,15
894;167;Liang Bin_2012_Effect_Chinese;34,29;108;13,26283175;876,0926293;28,1;7,528571429;7,792857143;19;wheat;CF;compost cattle manure;combined;no;conventional;no;conventional;no;no;no;352;3;REN;62;1;50;7,3;;;;;;;
895;168;Liang Bin_2013_Fate ;34,29;108;13,26283175;876,0926293;28,1;7,528571429;7,792857143;1;wheat;CF;cattle manure;combined;no;conventional;no;conventional;no;no;no;165;3;REN;62;1;50;9;;;;;;;
896;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;90;3;REN;33,33333333;;35,55555556;;up_total;133;;103;135;;103
897;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;180;3;REN;31,11111111;;37,22222222;;up_total;159;;103;170;;103
898;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;270;3;REN;32,22222222;;37,03703704;;up_total;190;;103;203;;103
899;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;90;3;REN;40;;47,77777778;;up_total;128;;92;135;;92
900;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;180;3;REN;36,66666667;;47,77777778;;up_total;158;;92;178;;92
901;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;270;3;REN;38,14814815;;46,66666667;;up_total;195;;92;218;;92
902;169;Liang X_2013_Nitrogen;30,83;120,67;16,84915988;1432,491937;41,28571429;26,90714286;6,692857143;6;rice;CF;Pig manure,40%-60%;combined;no;conventional;no;conventional;no;no;no;90;3;REN;38,88888889;;46,66666667;;up_total;119;;84;126;;84
